Year;Population
1919;5685
1920;11195
1921;2649
1922;2903
1923;20057
1924;18747
1925;15089
1926;9153
1927;736
1928;845
1929;233
1930;206
1931;4647
1932;9279
1933;1320
1934;1996
1935;416
1936;3897
1937;6006
1938;6365
1939;6996
1940;7782
1941;3438
1942;5595
1943;5953
1944;2672
1945;4753
1946;7457
1947;7914
1948;10380
1949;8082
1950;12382
1951;12282
1952;14068
1953;14214
1954;34583
1955;24694
1956;26914
1957;30987
1958;43329
1959;53326
1960;47452
1961;46759
1962;63328
1963;58740
1964;54524
1965;51217
1966;41970
1967;65712
1968;60078
1969;59067
1970;47287
1971;57322
1972;79439
1973;61982
1974;41842
1975;50704
1976;53141
1977;55139
1978;69
1979;109663
1980;85985
1981;60616
